id,cause_of_death,dead_or_missing,route,year,month
543,unknown,1,Central Mediterranean Route,2011,4
544,drowning or exhaustion,1,Central Mediterranean Route,2011,4
545,drowning or exhaustion,495,Central Mediterranean Route,2011,4
546,drowning or exhaustion,1,Central Mediterranean Route,2011,4
547,unknown,100,Central Mediterranean Route,2011,4
548,drowning or exhaustion,2,Central Mediterranean Route,2011,4
549,drowning or exhaustion,250,Central Mediterranean Route,2011,4
550,drowning or exhaustion,2,Central Mediterranean Route,2011,4
551,drowning or exhaustion,1,Western African Route,2011,4
552,drowning or exhaustion,1,Central Mediterranean Route,2011,3
553,drowning or exhaustion,1,,2011,3
554,drowning or exhaustion,70,Central Mediterranean Route,2011,3
555,drowning or exhaustion,46,Central Mediterranean Route,2011,3
556,drowning or exhaustion,74,Central Mediterranean Route,2011,3
557,drowning or exhaustion,27,Central Mediterranean Route,2011,3
558,drowning or exhaustion,11,Central Mediterranean Route,2011,3
559,drowning or exhaustion,308,Central Mediterranean Route,2011,3
560,drowning or exhaustion,1,,2011,3
561,drowning or exhaustion,305,Central Mediterranean Route,2011,3
562,drowning or exhaustion,1,Eastern Mediterranean Route,2011,3
563,drowning or exhaustion,3,Apulia and Calabria Route,2011,3
564,drowning or exhaustion,3,Eastern Mediterranean Route,2011,3
565,drowning or exhaustion,3,Central Mediterranean Route,2011,3
566,drowning or exhaustion,40,Central Mediterranean Route,2011,3
567,drowning or exhaustion,48,Central Mediterranean Route,2011,3
568,suicide,1,Central Mediterranean Route,2011,3
569,unknown,1,,2011,3
570,drowning or exhaustion,19,Eastern Mediterranean Route,2011,3
571,drowning or exhaustion,1,Western Mediterranean Route,2011,3
572,suicide,1,,2011,3
573,drowning or exhaustion,1,Western Mediterranean Route,2011,2
574,drowning or exhaustion,15,Western Mediterranean Route,2011,2
575,drowning or exhaustion,1,Western Mediterranean Route,2011,2
576,drowning or exhaustion,6,Western Mediterranean Route,2011,2
577,suicide,2,,2011,2
578,drowning or exhaustion,1,,2011,2
579,drowning or exhaustion,270,Central Mediterranean Route,2011,2
580,drowning or exhaustion,1,Western African Route,2011,2
581,drowning or exhaustion,1,,2011,2
582,drowning or exhaustion,1,Western Mediterranean Route,2011,2
583,unknown,2,Eastern Mediterranean Route,2011,12
584,drowning or exhaustion,1,Eastern Mediterranean Route,2011,12
585,drowning or exhaustion,1,,2011,12
586,drowning or exhaustion,3,,2011,12
587,drowning or exhaustion,3,Eastern Mediterranean Route,2011,12
588,drowning or exhaustion,1,Western Mediterranean Route,2011,12
589,suicide,1,,2011,12
590,drowning or exhaustion,1,,2011,12
591,drowning or exhaustion,1,Western Mediterranean Route,2011,12
592,unknown,2,Central Mediterranean Route,2011,12
593,drowning or exhaustion,1,Central Mediterranean Route,2011,12
594,drowning or exhaustion,2,Central Mediterranean Route,2011,12
595,unknown,4,Central Mediterranean Route,2011,12
596,drowning or exhaustion,1,Western Mediterranean Route,2011,11
597,drowning or exhaustion,3,Apulia and Calabria Route,2011,11
598,drowning or exhaustion,53,Apulia and Calabria Route,2011,11
599,drowning or exhaustion,1,Eastern Mediterranean Route,2011,11
600,drowning or exhaustion,1,Eastern Mediterranean Route,2011,11
601,drowning or exhaustion,3,Western Mediterranean Route,2011,11
602,violent accidental death,2,,2011,11
603,suicide,1,,2011,11
604,unknown,1,Central Mediterranean Route,2011,11
605,drowning or exhaustion,1,Western Mediterranean Route,2011,11
606,drowning or exhaustion,35,Central Mediterranean Route,2011,11
607,drowning or exhaustion,1,Western Mediterranean Route,2011,10
608,drowning or exhaustion,3,Western Mediterranean Route,2011,10
609,drowning or exhaustion,1,Apulia and Calabria Route,2011,10
610,drowning or exhaustion,1,Apulia and Calabria Route,2011,10
611,drowning or exhaustion,5,Western African Route,2011,10
612,drowning or exhaustion,2,Eastern Mediterranean Route,2011,10
613,drowning or exhaustion,2,Eastern Mediterranean Route,2011,10
614,violent accidental death,1,,2011,10
615,drowning or exhaustion,1,Central Mediterranean Route,2011,10
616,drowning or exhaustion,1,Central Mediterranean Route,2011,10
617,drowning or exhaustion,61,Central Mediterranean Route,2011,10
618,violent accidental death,1,,2011,1
619,drowning or exhaustion,1,Western Mediterranean Route,2011,1
620,drowning or exhaustion,1,Western Mediterranean Route,2011,1
621,drowning or exhaustion,1,Western Mediterranean Route,2011,1
622,drowning or exhaustion,1,Central Mediterranean Route,2011,1
623,drowning or exhaustion,2,Central Mediterranean Route,2011,1
624,drowning or exhaustion,33,,2011,1
625,unknown,11,Western Mediterranean Route,2011,1
626,violent accidental death,1,Eastern Mediterranean Route,2011,1
627,drowning or exhaustion,1,,2011,1
628,malicious intent,1,,2011,1
629,drowning or exhaustion,25,Central Mediterranean Route,2011,1
630,drowning or exhaustion,1,Western Mediterranean Route,2011,1
631,unknown,1,Central Mediterranean Route,2011,1
632,drowning or exhaustion,27,Central Mediterranean Route,2011,1
633,drowning or exhaustion,58,Central Mediterranean Route,2011,1
634,violent accidental death,3,Western Mediterranean Route,2011,1
635,drowning or exhaustion,2,Central Mediterranean Route,2011,1
636,suicide,1,,2011,1
637,authorities related death,1,,2011,1
638,drowning or exhaustion,1,,2011,1
639,drowning or exhaustion,2,Eastern Mediterranean Route,2010,9
640,violent accidental death,1,,2010,9
641,drowning or exhaustion,1,,2010,9
642,authorities related death,1,,2010,9
643,drowning or exhaustion,1,Western Mediterranean Route,2010,9
644,authorities related death,3,,2010,9
645,drowning or exhaustion,3,Western Mediterranean Route,2010,9
646,unknown,2,Western Mediterranean Route,2010,8
647,drowning or exhaustion,2,Central Mediterranean Route,2010,8
648,drowning or exhaustion,2,Western Mediterranean Route,2010,8
649,drowning or exhaustion,37,Western Mediterranean Route,2010,8
650,drowning or exhaustion,1,Apulia and Calabria Route,2010,8
651,drowning or exhaustion,1,,2010,8
652,drowning or exhaustion,6,,2010,8
653,authorities related death,10,,2010,8
654,authorities related death,6,,2010,8
655,drowning or exhaustion,43,Central Mediterranean Route,2010,8
656,drowning or exhaustion,4,Eastern Mediterranean Route,2010,8
657,drowning or exhaustion,1,Apulia and Calabria Route,2010,8
658,drowning or exhaustion,1,,2010,8
659,authorities related death,2,,2010,7
660,drowning or exhaustion,2,Western Mediterranean Route,2010,7
661,suicide,1,,2010,7
662,drowning or exhaustion,1,Apulia and Calabria Route,2010,7
663,drowning or exhaustion,2,Eastern Mediterranean Route,2010,7
664,drowning or exhaustion,1,Western Mediterranean Route,2010,7
665,drowning or exhaustion,1,Western Mediterranean Route,2010,7
666,drowning or exhaustion,1,Western Mediterranean Route,2010,7
667,drowning or exhaustion,2,Eastern Mediterranean Route,2010,7
668,drowning or exhaustion,1,,2010,7
669,malicious intent,1,,2010,7
670,suicide,1,,2010,7
671,suicide,2,,2010,7
672,suicide,1,,2010,7
673,drowning or exhaustion,18,Eastern Mediterranean Route,2010,6
674,authorities related death,1,,2010,6
675,drowning or exhaustion,1,,2010,6
676,drowning or exhaustion,2,Eastern Mediterranean Route,2010,6
677,malicious intent,1,,2010,6
678,malicious intent,20,Central Mediterranean Route,2010,5
679,drowning or exhaustion,2,Eastern Mediterranean Route,2010,5
680,suicide,1,Western Mediterranean Route,2010,5
681,violent accidental death,1,,2010,4
682,authorities related death,1,,2010,4
683,violent accidental death,1,,2010,4
684,drowning or exhaustion,1,Western Mediterranean Route,2010,4
685,drowning or exhaustion,4,Eastern Mediterranean Route,2010,4
686,suicide,1,,2010,4
687,drowning or exhaustion,1,,2010,4
688,drowning or exhaustion,11,Western Mediterranean Route,2010,4
689,drowning or exhaustion,2,Central Mediterranean Route,2010,4
690,drowning or exhaustion,19,Eastern Mediterranean Route,2010,3
691,drowning or exhaustion,1,,2010,3
692,drowning or exhaustion,2,,2010,3
693,other,1,Eastern Mediterranean Route,2010,3
694,authorities related death,2,,2010,3
695,unknown,3,Central Mediterranean Route,2010,3
696,suicide,1,,2010,3
697,drowning or exhaustion,1,,2010,3
698,violent accidental death,1,Western Mediterranean Route,2010,3
699,drowning or exhaustion,1,,2010,3
700,authorities related death,1,,2010,2
701,drowning or exhaustion,5,Central Mediterranean Route,2010,2
702,suicide,1,,2010,2
703,suicide,1,,2010,2
704,authorities related death,2,,2010,2
705,malicious intent,1,,2010,2
706,violent accidental death,1,Western Mediterranean Route,2010,12
707,drowning or exhaustion,1,Eastern Borders Route,2010,12
708,drowning or exhaustion,2,Eastern Borders Route,2010,12
709,drowning or exhaustion,1,,2010,12
710,malicious intent,2,,2010,12
711,drowning or exhaustion,1,,2010,12
712,drowning or exhaustion,1,Western Mediterranean Route,2010,12
713,violent accidental death,1,,2010,12
714,malicious intent,6,,2010,11
715,authorities related death,1,,2010,11
716,violent accidental death,1,,2010,11
717,drowning or exhaustion,4,,2010,11
718,violent accidental death,2,,2010,11
719,drowning or exhaustion,1,Apulia and Calabria Route,2010,11
720,authorities related death,21,,2010,11
721,drowning or exhaustion,5,,2010,11
722,drowning or exhaustion,1,Western Mediterranean Route,2010,11
723,drowning or exhaustion,2,Western Mediterranean Route,2010,11
724,drowning or exhaustion,8,Western Mediterranean Route,2010,11
725,drowning or exhaustion,1,Western Mediterranean Route,2010,11
726,drowning or exhaustion,5,Western Mediterranean Route,2010,11
727,drowning or exhaustion,5,Western Mediterranean Route,2010,11
728,violent accidental death,1,,2010,11
729,malicious intent,1,Western Mediterranean Route,2010,11
730,drowning or exhaustion,8,Eastern Mediterranean Route,2010,11
731,authorities related death,1,,2010,10
732,unknown,1,Eastern Mediterranean Route,2010,10
733,malicious intent,1,,2010,10
734,drowning or exhaustion,1,,2010,10
735,suicide,1,,2010,1
736,drowning or exhaustion,1,,2010,1
737,malicious intent,2,,2010,1
738,malicious intent,6,,2010,1
739,malicious intent,1,,2010,1
740,unknown,3,Western Mediterranean Route,2010,1
741,drowning or exhaustion,1,Western Mediterranean Route,2010,1
742,unknown,1,Apulia and Calabria Route,2010,1
743,unknown,1,Apulia and Calabria Route,2010,1
744,drowning or exhaustion,1,,2010,1
745,drowning or exhaustion,3,Eastern Mediterranean Route,2010,1
746,drowning or exhaustion,8,Eastern Mediterranean Route,2010,1
747,drowning or exhaustion,5,Eastern Mediterranean Route,2010,1
748,drowning or exhaustion,1,Eastern Mediterranean Route,2010,1
749,suicide,1,,2010,1
750,drowning or exhaustion,4,Western African Route,2009,9
751,authorities related death,1,,2009,9
752,drowning or exhaustion,28,Western Mediterranean Route,2009,9
753,authorities related death,2,,2009,9
754,suicide,1,,2009,9
755,drowning or exhaustion,1,Western Mediterranean Route,2009,9
756,authorities related death,4,,2009,9
757,authorities related death,12,,2009,9
758,authorities related death,6,,2009,9
759,violent accidental death,1,Apulia and Calabria Route,2009,9
760,suicide,1,,2009,9
761,authorities related death,1,,2009,8
762,violent accidental death,3,,2009,8
763,unknown,1,Western African Route,2009,8
764,drowning or exhaustion,1,Central Mediterranean Route,2009,8
765,drowning or exhaustion,1,Central Mediterranean Route,2009,8
766,suicide,1,,2009,8
767,suicide,1,,2009,8
768,unknown,1,Central Mediterranean Route,2009,8
769,drowning or exhaustion,72,Central Mediterranean Route,2009,8
770,violent accidental death,1,Apulia and Calabria Route,2009,8
771,drowning or exhaustion,27,Western Mediterranean Route,2009,8
772,violent accidental death,1,,2009,8
773,unknown,2,Eastern Mediterranean Route,2009,8
774,unknown,1,Western Mediterranean Route,2009,8
775,unknown,1,Central Mediterranean Route,2009,8
776,authorities related death,20,,2009,8
777,drowning or exhaustion,12,Central Mediterranean Route,2009,8
778,violent accidental death,1,,2009,8
779,authorities related death,1,,2009,7
780,drowning or exhaustion,1,Western Mediterranean Route,2009,7
781,authorities related death,1,,2009,7
782,authorities related death,1,,2009,7
783,drowning or exhaustion,1,Western African Route,2009,7
784,unknown,1,Western Mediterranean Route,2009,7
785,violent accidental death,3,,2009,7
786,unknown,1,Western Mediterranean Route,2009,7
787,unknown,1,Western Mediterranean Route,2009,7
788,drowning or exhaustion,1,Western African Route,2009,7
789,unknown,1,Western African Route,2009,7
790,malicious intent,1,,2009,7
791,suicide,1,,2009,7
792,authorities related death,2,,2009,7
793,unknown,1,,2009,6
794,drowning or exhaustion,9,Western Mediterranean Route,2009,6
795,unknown,1,,2009,6
796,unknown,1,,2009,6
797,violent accidental death,1,,2009,6
798,suicide,1,Western Mediterranean Route,2009,6
799,drowning or exhaustion,2,Western Mediterranean Route,2009,6
800,unknown,2,Western Mediterranean Route,2009,6
801,drowning or exhaustion,1,,2009,6
802,drowning or exhaustion,6,Eastern Mediterranean Route,2009,6
803,suicide,1,,2009,6
804,drowning or exhaustion,7,Central Mediterranean Route,2009,6
805,drowning or exhaustion,1,Eastern Mediterranean Route,2009,6
806,suicide,1,,2009,6
807,drowning or exhaustion,18,Western Mediterranean Route,2009,6
808,other,1,Western Mediterranean Route,2009,6
809,unknown,1,Western Mediterranean Route,2009,6
810,authorities related death,1,,2009,6
811,suicide,1,,2009,5
812,drowning or exhaustion,1,Central Mediterranean Route,2009,5
813,suicide,1,Western Mediterranean Route,2009,5
814,violent accidental death,1,,2009,5
815,malicious intent,1,,2009,5
816,drowning or exhaustion,1,Central Mediterranean Route,2009,5
817,unknown,1,Western Mediterranean Route,2009,4
818,drowning or exhaustion,20,,2009,4
819,drowning or exhaustion,35,,2009,4
820,drowning or exhaustion,2,Western Mediterranean Route,2009,4
821,unknown,2,Western Mediterranean Route,2009,4
822,drowning or exhaustion,1,Western African Route,2009,4
823,drowning or exhaustion,1,Central Mediterranean Route,2009,4
824,unknown,3,,2009,4
825,unknown,1,Western Mediterranean Route,2009,4
826,unknown,25,Western Mediterranean Route,2009,4
827,violent accidental death,1,,2009,4
828,unknown,2,Central Mediterranean Route,2009,4
829,drowning or exhaustion,500,Central Mediterranean Route,2009,3
830,drowning or exhaustion,300,Central Mediterranean Route,2009,3
831,violent accidental death,1,,2009,3
832,violent accidental death,1,,2009,3
833,unknown,14,Western Mediterranean Route,2009,3
834,violent accidental death,1,,2009,3
835,unknown,1,Eastern Mediterranean Route,2009,3
836,unknown,2,Western Mediterranean Route,2009,3
837,unknown,2,Western Mediterranean Route,2009,3
838,drowning or exhaustion,67,Central Mediterranean Route,2009,3
839,malicious intent,1,,2009,3
840,drowning or exhaustion,1,Western Mediterranean Route,2009,3
841,drowning or exhaustion,11,Central Mediterranean Route,2009,3
842,drowning or exhaustion,12,Western Mediterranean Route,2009,3
843,other,1,Western Mediterranean Route,2009,3
844,drowning or exhaustion,34,,2009,3
845,drowning or exhaustion,2,,2009,3
846,unknown,2,Central Mediterranean Route,2009,3
847,unknown,1,Eastern Mediterranean Route,2009,2
848,unknown,1,,2009,2
849,unknown,1,Western Mediterranean Route,2009,2
850,unknown,1,Western Mediterranean Route,2009,2
851,unknown,1,Western African Route,2009,2
852,drowning or exhaustion,25,Western African Route,2009,2
853,drowning or exhaustion,3,Western African Route,2009,2
854,drowning or exhaustion,2,Western Mediterranean Route,2009,12
855,drowning or exhaustion,13,Western Mediterranean Route,2009,12
856,drowning or exhaustion,5,Western Mediterranean Route,2009,12
857,suicide,1,,2009,12
858,drowning or exhaustion,22,Eastern Mediterranean Route,2009,12
859,suicide,1,,2009,12
860,authorities related death,2,,2009,12
861,drowning or exhaustion,1,Western Balkan Route,2009,12
862,violent accidental death,1,,2009,12
863,unknown,16,Western Mediterranean Route,2009,12
864,drowning or exhaustion,2,Eastern Mediterranean Route,2009,12
865,suicide,1,,2009,12
866,drowning or exhaustion,7,,2009,12
867,unknown,1,Western Mediterranean Route,2009,12
868,drowning or exhaustion,2,Eastern Mediterranean Route,2009,12
869,drowning or exhaustion,2,Western African Route,2009,12
870,authorities related death,1,,2009,11
871,drowning or exhaustion,23,,2009,11
872,malicious intent,1,,2009,11
873,unknown,1,Western Mediterranean Route,2009,11
874,drowning or exhaustion,1,Western Mediterranean Route,2009,11
875,unknown,10,Central Mediterranean Route,2009,11
876,authorities related death,1,,2009,11
877,unknown,7,Eastern Mediterranean Route,2009,11
878,unknown,1,Eastern Mediterranean Route,2009,11
879,drowning or exhaustion,1,,2009,10
880,suicide,1,,2009,10
881,unknown,3,Western Mediterranean Route,2009,10
882,unknown,1,Central Mediterranean Route,2009,10
883,drowning or exhaustion,9,Eastern Mediterranean Route,2009,10
884,drowning or exhaustion,8,Eastern Mediterranean Route,2009,10
885,unknown,1,Central Mediterranean Route,2009,10
886,drowning or exhaustion,16,Eastern Borders Route,2009,10
887,authorities related death,1,Eastern Mediterranean Route,2009,10
888,suicide,1,,2009,10
889,authorities related death,20,,2009,10
890,unknown,6,Central Mediterranean Route,2009,10
891,unknown,1,Western Mediterranean Route,2009,1
892,drowning or exhaustion,8,Central Mediterranean Route,2009,1
893,drowning or exhaustion,5,Eastern Mediterranean Route,2009,1
894,unknown,12,Western Mediterranean Route,2009,1
895,drowning or exhaustion,1,Central Mediterranean Route,2009,1
896,drowning or exhaustion,8,Central Mediterranean Route,2009,1
897,unknown,1,Central Mediterranean Route,2009,1
898,unknown,1,Central Mediterranean Route,2009,1
899,drowning or exhaustion,30,Central Mediterranean Route,2009,1
900,drowning or exhaustion,1,Central Mediterranean Route,2009,1
901,drowning or exhaustion,4,Western Mediterranean Route,2009,1
902,drowning or exhaustion,1,Eastern Mediterranean Route,2009,1
903,drowning or exhaustion,1,Eastern Mediterranean Route,2009,1
904,drowning or exhaustion,1,,2009,1
905,drowning or exhaustion,1,,2009,1
906,drowning or exhaustion,4,Western African Route,2009,1
907,unknown,1,Western Mediterranean Route,2009,1
908,drowning or exhaustion,1,Western Mediterranean Route,2009,1
909,suicide,1,,2009,1
910,drowning or exhaustion,300,Central Mediterranean Route,2009,1
911,drowning or exhaustion,14,Western Mediterranean Route,2009,1
912,unknown,1,Western Mediterranean Route,2009,1
913,malicious intent,1,Central Mediterranean Route,2008,9
914,unknown,28,,2008,9
915,violent accidental death,4,Eastern Mediterranean Route,2008,9
916,violent accidental death,4,Eastern Mediterranean Route,2008,9
917,drowning or exhaustion,21,,2008,9
918,unknown,35,Central Mediterranean Route,2008,9
919,unknown,83,,2008,9
920,unknown,80,,2008,9
921,violent accidental death,4,,2008,9
922,unknown,1,Apulia and Calabria Route,2008,9
923,drowning or exhaustion,13,,2008,9
924,unknown,8,Western African Route,2008,9
925,authorities related death,2,,2008,9
926,unknown,1,Central Mediterranean Route,2008,9
927,unknown,1,Western African Route,2008,9
928,unknown,23,,2008,9
929,drowning or exhaustion,1,,2008,9
930,drowning or exhaustion,3,,2008,9
931,drowning or exhaustion,13,Western African Route,2008,9
932,unknown,5,Central Mediterranean Route,2008,9
933,unknown,48,,2008,8
934,drowning or exhaustion,14,Central Mediterranean Route,2008,8
935,drowning or exhaustion,6,Western African Route,2008,8
936,drowning or exhaustion,5,Central Mediterranean Route,2008,8
937,unknown,20,Western Mediterranean Route,2008,8
938,drowning or exhaustion,84,Central Mediterranean Route,2008,8
939,drowning or exhaustion,27,Central Mediterranean Route,2008,8
940,malicious intent,1,Western Mediterranean Route,2008,8
941,drowning or exhaustion,56,,2008,8
942,violent accidental death,30,,2008,8
943,drowning or exhaustion,35,Western Mediterranean Route,2008,8
944,authorities related death,1,,2008,8
945,drowning or exhaustion,1,Eastern Mediterranean Route,2008,8
946,unknown,2,,2008,8
947,unknown,21,Western African Route,2008,8
948,unknown,33,Western African Route,2008,8
949,malicious intent,1,,2008,8
950,unknown,1,Western Mediterranean Route,2008,8
951,drowning or exhaustion,2,,2008,8
952,unknown,75,,2008,8
953,unknown,1,Western African Route,2008,8
954,unknown,1,Western Mediterranean Route,2008,8
955,unknown,1,Western Mediterranean Route,2008,8
956,drowning or exhaustion,3,Central Mediterranean Route,2008,7
957,unknown,2,Central Mediterranean Route,2008,7
958,drowning or exhaustion,14,Western Mediterranean Route,2008,7
959,drowning or exhaustion,13,,2008,7
960,drowning or exhaustion,7,Central Mediterranean Route,2008,7
961,unknown,38,Central Mediterranean Route,2008,7
962,unknown,1,Western African Route,2008,7
963,drowning or exhaustion,24,,2008,7
964,drowning or exhaustion,1,Western Mediterranean Route,2008,7
965,malicious intent,1,,2008,7
966,drowning or exhaustion,1,Western Mediterranean Route,2008,7
967,authorities related death,1,,2008,7
968,drowning or exhaustion,1,Central Mediterranean Route,2008,7
969,drowning or exhaustion,1,Central Mediterranean Route,2008,7
970,unknown,1,Central Mediterranean Route,2008,7
971,suicide,1,,2008,7
972,unknown,2,,2008,7
973,drowning or exhaustion,28,Central Mediterranean Route,2008,7
974,violent accidental death,1,,2008,7
975,drowning or exhaustion,11,Western African Route,2008,7
976,authorities related death,1,,2008,7
977,unknown,1,Western African Route,2008,7
978,unknown,4,Western African Route,2008,7
979,drowning or exhaustion,50,Western Mediterranean Route,2008,7
980,unknown,3,Central Mediterranean Route,2008,7
981,drowning or exhaustion,1,Western African Route,2008,7
982,unknown,23,Western African Route,2008,7
983,drowning or exhaustion,14,Western Mediterranean Route,2008,7
984,drowning or exhaustion,15,,2008,7
985,drowning or exhaustion,149,Central Mediterranean Route,2008,7
986,drowning or exhaustion,16,Western Mediterranean Route,2008,7
987,unknown,1,,2008,7
988,unknown,1,Central Mediterranean Route,2008,6
989,drowning or exhaustion,2,Central Mediterranean Route,2008,6
990,authorities related death,2,,2008,6
991,drowning or exhaustion,1,,2008,6
992,drowning or exhaustion,3,Central Mediterranean Route,2008,6
993,drowning or exhaustion,1,,2008,6
994,drowning or exhaustion,1,,2008,6
995,drowning or exhaustion,1,Central Mediterranean Route,2008,6
996,drowning or exhaustion,1,,2008,6
997,authorities related death,1,,2008,6
998,drowning or exhaustion,1,Central Mediterranean Route,2008,6
999,unknown,1,Central Mediterranean Route,2008,6
1000,unknown,4,Western African Route,2008,6
1001,drowning or exhaustion,1,Central Mediterranean Route,2008,6
1002,unknown,1,Central Mediterranean Route,2008,6
1003,drowning or exhaustion,6,Central Mediterranean Route,2008,6
1004,drowning or exhaustion,1,Central Mediterranean Route,2008,6
1005,unknown,1,Central Mediterranean Route,2008,6
1006,drowning or exhaustion,1,Eastern Mediterranean Route,2008,6
1007,drowning or exhaustion,4,Eastern Mediterranean Route,2008,6
1008,malicious intent,1,Eastern Mediterranean Route,2008,6
1009,drowning or exhaustion,51,,2008,6
1010,unknown,1,Central Mediterranean Route,2008,6
1011,violent accidental death,2,,2008,6
1012,drowning or exhaustion,2,Eastern Mediterranean Route,2008,6
1013,violent accidental death,1,,2008,6
1014,malicious intent,1,Western Balkan Route,2008,6
1015,unknown,100,Central Mediterranean Route,2008,6
1016,unknown,1,Central Mediterranean Route,2008,6
1017,unknown,13,,2008,6
1018,unknown,1,Central Mediterranean Route,2008,6
1019,drowning or exhaustion,16,Western Mediterranean Route,2008,6
1020,unknown,1,Central Mediterranean Route,2008,6
1021,unknown,1,Central Mediterranean Route,2008,6
1022,violent accidental death,1,Western Mediterranean Route,2008,6
1023,drowning or exhaustion,1,,2008,6
1024,unknown,1,Western African Route,2008,5
1025,unknown,1,Central Mediterranean Route,2008,5
1026,unknown,1,Central Mediterranean Route,2008,5
1027,unknown,1,,2008,5
1028,unknown,3,Western African Route,2008,5
1029,drowning or exhaustion,2,Central Mediterranean Route,2008,5
1030,drowning or exhaustion,5,Central Mediterranean Route,2008,5
1031,unknown,5,Central Mediterranean Route,2008,5
1032,drowning or exhaustion,3,Western African Route,2008,5
1033,unknown,28,Central Mediterranean Route,2008,5
1034,drowning or exhaustion,1,,2008,5
1035,drowning or exhaustion,1,Central Mediterranean Route,2008,5
1036,drowning or exhaustion,1,Central Mediterranean Route,2008,5
1037,drowning or exhaustion,2,Western Mediterranean Route,2008,5
1038,drowning or exhaustion,12,Central Mediterranean Route,2008,5
1039,unknown,2,Eastern Mediterranean Route,2008,5
1040,drowning or exhaustion,21,Eastern Mediterranean Route,2008,5
1041,drowning or exhaustion,1,Central Mediterranean Route,2008,5
1042,unknown,1,Western Mediterranean Route,2008,5
1043,unknown,50,Central Mediterranean Route,2008,5
1044,violent accidental death,1,Western Mediterranean Route,2008,5
1045,drowning or exhaustion,18,Eastern Mediterranean Route,2008,5
1046,drowning or exhaustion,4,Eastern Mediterranean Route,2008,5
1047,drowning or exhaustion,1,Central Mediterranean Route,2008,5
1048,unknown,1,Western Mediterranean Route,2008,5
1049,unknown,3,Central Mediterranean Route,2008,5
1050,suicide,1,,2008,5
1051,drowning or exhaustion,13,Central Mediterranean Route,2008,5
1052,drowning or exhaustion,7,Western Mediterranean Route,2008,5
1053,drowning or exhaustion,1,Western Mediterranean Route,2008,5
1054,drowning or exhaustion,1,,2008,5
1055,violent accidental death,1,Eastern Mediterranean Route,2008,5
1056,unknown,2,Western African Route,2008,5
1057,violent accidental death,1,Western Mediterranean Route,2008,5
1058,suicide,1,,2008,4
1059,drowning or exhaustion,36,Western Mediterranean Route,2008,4
1060,drowning or exhaustion,4,,2008,4
1061,drowning or exhaustion,1,Central Mediterranean Route,2008,4
1062,unknown,23,Central Mediterranean Route,2008,4
1063,drowning or exhaustion,4,,2008,4
1064,unknown,2,Central Mediterranean Route,2008,4
1065,drowning or exhaustion,4,Central Mediterranean Route,2008,4
1066,drowning or exhaustion,1,Central Mediterranean Route,2008,4
1067,drowning or exhaustion,2,Central Mediterranean Route,2008,4
1068,unknown,17,Central Mediterranean Route,2008,4
1069,unknown,1,,2008,4
1070,unknown,2,Western African Route,2008,4
1071,authorities related death,1,,2008,4
1072,unknown,1,,2008,4
1073,unknown,2,Western Mediterranean Route,2008,4
1074,unknown,16,Western Mediterranean Route,2008,4
1075,drowning or exhaustion,8,Western Mediterranean Route,2008,4
1076,drowning or exhaustion,1,,2008,4
1077,suicide,1,,2008,4
1078,drowning or exhaustion,1,,2008,4
1079,drowning or exhaustion,2,Western Mediterranean Route,2008,3
1080,unknown,1,Western Mediterranean Route,2008,3
1081,unknown,5,Western Mediterranean Route,2008,3
1082,suicide,1,,2008,3
1083,drowning or exhaustion,1,Western Mediterranean Route,2008,3
1084,suicide,1,,2008,3
1085,drowning or exhaustion,4,Western African Route,2008,3
1086,authorities related death,2,,2008,3
1087,unknown,6,Eastern Mediterranean Route,2008,3
1088,drowning or exhaustion,1,,2008,3
1089,drowning or exhaustion,40,Central Mediterranean Route,2008,3
1090,drowning or exhaustion,1,,2008,3
1091,authorities related death,1,,2008,3
1092,drowning or exhaustion,4,Eastern Mediterranean Route,2008,3
1093,drowning or exhaustion,1,,2008,3
1094,unknown,2,Western African Route,2008,3
1095,unknown,1,Western Mediterranean Route,2008,3
1096,drowning or exhaustion,1,,2008,3
1097,drowning or exhaustion,1,Western Mediterranean Route,2008,2
1098,authorities related death,1,,2008,2
1099,authorities related death,1,,2008,2
1100,suicide,1,,2008,2
1101,authorities related death,1,,2008,2
1102,suicide,1,,2008,2
1103,unknown,24,Western African Route,2008,2
1104,suicide,1,Western Mediterranean Route,2008,2
1105,drowning or exhaustion,1,,2008,2
1106,drowning or exhaustion,1,Central Mediterranean Route,2008,2
1107,drowning or exhaustion,1,,2008,2
1108,drowning or exhaustion,1,Eastern Mediterranean Route,2008,2
1109,violent accidental death,1,,2008,2
1110,drowning or exhaustion,1,Western Mediterranean Route,2008,2
1111,violent accidental death,1,Western Mediterranean Route,2008,2
1112,drowning or exhaustion,2,Western Mediterranean Route,2008,2
1113,drowning or exhaustion,1,Western Mediterranean Route,2008,2
1114,authorities related death,1,Western Mediterranean Route,2008,12
1115,drowning or exhaustion,12,Western Mediterranean Route,2008,12
1116,drowning or exhaustion,1,Eastern Mediterranean Route,2008,12
1117,drowning or exhaustion,1,Western Mediterranean Route,2008,12
1118,drowning or exhaustion,7,Eastern Mediterranean Route,2008,12
1119,drowning or exhaustion,6,,2008,12
1120,violent accidental death,1,,2008,12
1121,suicide,1,,2008,12
1122,drowning or exhaustion,25,,2008,12
1123,drowning or exhaustion,5,Eastern Mediterranean Route,2008,12
1124,unknown,1,Western African Route,2008,12
